HEADER,TIME_MS,SV_DRV,SV_STR,SV_STD,SWP_SG,SV_POS,GY_ROLL,GY_YAW,GY_PITCH,ACC_X,ACC_Y,ACC_Z
a,523289,0.000,0.000,36.000,0.000,2.065,-0.264,-0.005,0.778,0.157,9.865,0.238
a,523293,0.000,0.000,36.000,0.000,2.021,-0.218,-0.219,-0.382,0.170,9.902,0.256
a,523297,0.000,0.000,36.000,0.000,2.021,-0.065,0.040,-1.191,0.165,9.858,0.235
a,523301,0.000,0.000,36.000,0.000,1.978,0.057,0.040,-0.000,0.174,9.904,0.255
a,523305,0.000,0.000,36.000,0.000,2.021,-0.218,0.101,0.336,0.186,9.895,0.256
a,523309,0.000,0.000,36.000,0.000,2.065,0.072,0.086,0.565,0.188,9.857,0.250
a,523313,0.000,0.000,36.000,0.000,1.978,-0.111,-0.128,0.015,0.164,9.852,0.262
a,523317,0.000,0.000,36.000,0.000,1.978,0.011,0.040,-0.107,0.170,9.870,0.250
a,523321,0.000,0.000,36.000,0.000,2.065,0.042,0.040,-0.886,0.163,9.867,0.238
a,523325,0.000,0.000,36.000,0.000,2.021,0.271,0.101,0.381,0.180,9.872,0.268
a,523329,0.000,0.000,36.000,0.000,2.021,0.011,-0.082,-1.130,0.192,9.888,0.244
a,523334,0.000,0.000,36.000,0.000,2.021,-0.004,0.040,-1.680,0.194,9.898,0.263
a,523338,0.000,0.000,36.000,0.000,2.021,0.011,-0.067,0.122,0.174,9.905,0.248
a,523341,0.000,0.000,36.000,0.000,2.021,0.011,-0.143,-0.535,0.170,9.905,0.249
a,523345,0.000,0.000,36.000,0.000,2.021,-0.279,0.315,-0.947,0.174,9.914,0.244
a,523349,0.000,0.000,36.000,0.000,2.021,-0.233,0.315,-0.611,0.168,9.895,0.260
a,523353,0.000,0.000,36.000,0.000,2.021,0.026,-0.005,1.328,0.168,9.881,0.237
a,523358,0.000,0.000,36.000,0.000,2.021,0.164,-0.005,0.595,0.178,9.893,0.259
a,523362,0.000,0.000,36.000,0.000,2.065,0.057,0.162,-0.183,0.192,9.857,0.273
a,523365,0.000,0.000,36.000,0.000,2.021,-0.019,-0.036,-1.848,0.186,9.869,0.262
a,523369,0.000,0.000,36.000,0.000,2.065,0.316,0.193,-0.779,0.163,9.867,0.259
a,523373,0.000,0.000,36.000,0.000,1.978,-0.050,-0.051,0.336,0.174,9.880,0.237
a,523377,0.000,0.000,36.000,0.000,1.978,-0.111,0.040,-0.107,0.157,9.875,0.247
a,523382,0.000,0.000,36.000,0.000,1.978,-0.050,-0.128,-0.321,0.164,9.872,0.255
a,523386,0.000,0.000,36.000,0.000,2.021,-0.142,-0.082,-0.260,0.176,9.882,0.239
a,523389,0.000,0.000,36.000,0.000,1.978,-0.218,0.040,-0.214,0.180,9.859,0.254
a,523394,0.000,0.000,36.000,0.000,1.978,0.057,-0.128,-0.229,0.181,9.884,0.260
a,523397,0.000,0.000,36.000,0.000,1.978,0.026,0.162,0.992,0.183,9.838,0.254
a,523401,0.000,0.000,36.000,0.000,2.021,-0.050,-0.219,0.717,0.188,9.883,0.283
a,523405,0.000,0.000,36.000,0.000,2.021,0.011,0.010,0.717,0.174,9.881,0.238
a,523409,0.000,0.000,36.000,0.000,2.021,0.179,-0.189,0.290,0.158,9.871,0.260
a,523413,0.000,0.000,36.000,0.000,2.021,-0.004,0.040,-0.932,0.178,9.874,0.268
a,523417,0.000,0.000,36.000,0.000,1.978,-0.096,0.117,0.946,0.174,9.886,0.244
a,523421,0.000,0.000,36.000,0.000,2.021,-0.050,0.147,0.183,0.168,9.888,0.254
a,523425,0.000,0.000,36.000,0.000,2.021,0.148,-0.067,-0.672,0.183,9.899,0.247
a,523429,0.000,0.000,36.000,0.000,2.065,-0.218,0.101,0.183,0.211,9.865,0.254
a,523433,0.000,0.000,36.000,0.000,2.021,-0.004,0.147,-0.657,0.198,9.871,0.266
