HEADER,TIME_MS,SV_DRV,SV_STR,SV_STD,GY_ROLL,GY_YAW,GY_PITCH,ACC_X,ACC_Y,ACC_Z,SV_POS
a,198446,0.000,0.000,36.000,0.142,-0.117,-0.315,2.115,9.373,2.251,2.021
a,198451,0.000,0.000,36.000,0.004,-0.040,0.784,2.137,9.373,2.223,2.065
a,198454,0.000,0.000,36.000,-0.072,0.051,-0.315,2.144,9.377,2.248,2.021
a,198458,0.000,0.000,36.000,0.218,0.097,0.265,2.143,9.396,2.235,2.021
a,198462,0.000,0.000,36.000,-0.087,-0.193,-1.658,2.126,9.371,2.227,2.021
a,198466,0.000,0.000,36.000,-0.240,-0.071,-0.361,2.136,9.330,2.235,2.065
a,198470,0.000,0.000,36.000,0.004,-0.010,0.113,2.137,9.392,2.251,2.417
a,198475,0.000,0.000,36.000,0.004,0.112,-0.162,2.144,9.361,2.239,2.065
a,198479,0.000,0.000,36.000,0.020,-0.040,1.273,2.122,9.383,2.239,2.417
a,198482,0.000,0.000,36.000,-0.240,-0.055,-0.590,2.127,9.383,2.254,1.978
a,198487,0.000,0.000,36.000,0.096,-0.117,-1.139,2.146,9.395,2.261,2.109
a,198491,0.000,0.000,36.000,0.096,-0.101,-0.422,2.121,9.388,2.258,2.021
a,198494,0.000,0.000,36.000,0.035,-0.010,-0.300,2.119,9.371,2.218,2.373
a,198498,0.000,0.000,36.000,0.096,-0.071,-0.864,2.126,9.371,2.233,2.065
a,198502,0.000,0.000,36.000,-0.011,-0.193,0.479,2.128,9.363,2.229,2.065
a,198506,0.000,0.000,36.000,0.218,-0.223,0.220,2.142,9.373,2.248,1.978
a,198510,0.000,0.000,36.000,-0.011,-0.178,-1.048,2.124,9.372,2.234,2.065
a,198514,0.000,0.000,36.000,-0.286,-0.071,-0.773,2.127,9.374,2.257,2.021
a,198518,0.000,0.000,36.000,0.035,-0.010,-0.849,2.133,9.369,2.243,2.065
a,198522,0.000,0.000,36.000,-0.286,0.021,0.678,2.122,9.379,2.239,2.065
a,198526,0.000,0.000,36.000,0.004,0.021,0.464,2.152,9.369,2.243,2.065
a,198530,0.000,0.000,36.000,-0.164,-0.040,0.678,2.107,9.397,2.228,2.021
a,198535,0.000,0.000,36.000,-0.072,-0.055,-1.185,2.115,9.376,2.272,2.109
a,198538,0.000,0.000,36.000,-0.103,0.021,1.716,2.125,9.388,2.243,2.021
a,198542,0.000,0.000,36.000,0.111,0.006,0.204,2.101,9.372,2.245,2.065
a,198546,0.000,0.000,36.000,0.035,-0.086,0.907,2.121,9.366,2.225,2.021
a,198550,0.000,0.000,36.000,0.142,-0.147,0.998,2.134,9.388,2.212,2.065
a,198554,0.000,0.000,36.000,-0.118,-0.117,-0.849,2.121,9.407,2.224,2.021
a,198558,0.000,0.000,36.000,-0.270,-0.269,-0.147,2.119,9.377,2.248,2.021
a,198562,0.000,0.000,36.000,-0.011,-0.162,-0.361,2.113,9.369,2.239,2.021
a,198566,0.000,0.000,36.000,-0.011,0.036,-0.269,2.106,9.377,2.237,2.065
a,198570,0.000,0.000,36.000,0.218,-0.086,0.891,2.119,9.377,2.252,2.065
a,198574,0.000,0.000,36.000,-0.011,0.097,-0.376,2.137,9.389,2.235,2.065
a,198578,0.000,0.000,36.000,-0.103,-0.391,0.418,2.112,9.382,2.217,2.109
a,198582,0.000,0.000,36.000,-0.164,-0.208,0.189,2.112,9.386,2.247,2.065
a,198587,0.000,0.000,36.000,0.004,-0.117,0.235,2.114,9.370,2.222,2.065
