HEADER,TIME_MS,SV_DRV,SV_STR,SV_STD,SWP_SG,SV_POS,GY_ROLL,GY_YAW,GY_PITCH,ACC_X,ACC_Y,ACC_Z
a,123858,0.000,0.000,36.000,0.000,-0.132,-0.005,0.056,0.637,2.072,9.480,2.122
a,123862,0.000,0.000,36.000,0.000,-0.132,-0.173,0.224,0.592,2.085,9.439,2.106
a,123866,0.000,0.000,36.000,0.000,-0.088,0.041,-0.066,-0.248,2.082,9.430,2.103
a,123871,0.000,0.000,36.000,0.000,0.000,-0.050,0.041,-0.034,2.089,9.468,2.112
a,123875,0.000,0.000,36.000,0.000,-0.132,0.163,-0.188,-0.798,2.100,9.473,2.090
a,123879,0.000,0.000,36.000,0.000,0.396,-0.127,-0.173,-0.477,2.073,9.443,2.084
a,123882,0.000,0.000,36.000,0.000,0.000,0.011,-0.035,0.454,2.081,9.444,2.122
a,123886,0.000,0.000,36.000,0.000,-0.044,-0.218,-0.142,-0.462,2.089,9.455,2.112
a,123890,0.000,0.000,36.000,0.000,-0.044,0.011,0.072,0.347,2.081,9.434,2.140
a,123894,0.000,0.000,36.000,0.000,-0.044,-0.050,0.087,0.073,2.088,9.436,2.142
a,123898,0.000,0.000,36.000,0.000,-0.088,0.072,0.072,0.454,2.091,9.431,2.106
a,123903,0.000,0.000,36.000,0.000,-0.088,-0.005,-0.127,-0.080,2.107,9.457,2.100
a,123906,0.000,0.000,36.000,0.000,-0.088,0.102,-0.005,0.729,2.063,9.456,2.125
a,123911,0.000,0.000,36.000,0.000,-0.088,0.011,0.087,0.698,2.088,9.444,2.138
a,123914,0.000,0.000,36.000,0.000,0.352,-0.066,0.041,-0.966,2.078,9.398,2.072
a,123918,0.000,0.000,36.000,0.000,-0.044,-0.005,0.316,0.286,2.103,9.442,2.096
a,123922,0.000,0.000,36.000,0.000,0.000,0.056,0.102,0.897,2.097,9.442,2.116
a,123926,0.000,0.000,36.000,0.000,-0.088,-0.279,0.163,0.515,2.097,9.485,2.107
a,123930,0.000,0.000,36.000,0.000,-0.088,-0.020,-0.020,-0.752,2.089,9.456,2.126
a,123934,0.000,0.000,36.000,0.000,-0.132,0.163,-0.066,0.286,2.065,9.456,2.128
a,123938,0.000,0.000,36.000,0.000,-0.044,-0.050,-0.341,0.210,2.100,9.456,2.134
a,123942,0.000,0.000,36.000,0.000,-0.088,0.072,-0.035,0.195,2.073,9.470,2.106
a,123946,0.000,0.000,36.000,0.000,-0.044,0.011,-0.142,-0.034,2.076,9.436,2.116
a,123950,0.000,0.000,36.000,0.000,-0.044,0.194,0.087,-0.874,2.091,9.445,2.114
a,123954,0.000,0.000,36.000,0.000,-0.044,0.041,-0.020,-0.752,2.078,9.455,2.110
a,123958,0.000,0.000,36.000,0.000,-0.132,0.041,0.209,-0.355,2.091,9.433,2.134
a,123962,0.000,0.000,36.000,0.000,-0.088,-0.020,-0.020,-1.011,2.070,9.448,2.093
a,123967,0.000,0.000,36.000,0.000,-0.044,0.072,-0.188,-2.126,2.081,9.479,2.081
a,123970,0.000,0.000,36.000,0.000,-0.088,0.117,0.041,0.897,2.085,9.474,2.127
a,123974,0.000,0.000,36.000,0.000,-0.088,-0.112,0.148,0.302,2.081,9.439,2.121
a,123978,0.000,0.000,36.000,0.000,-0.088,-0.218,0.133,-0.416,2.094,9.431,2.122
a,123982,0.000,0.000,36.000,0.000,-0.088,0.072,0.041,0.531,2.078,9.442,2.125
a,123986,0.000,0.000,36.000,0.000,-0.088,-0.279,-0.188,-0.355,2.094,9.459,2.127
