HEADER,TIME_MS,SV_DRV,SV_STR,SV_STD,GY_ROLL,GY_YAW,GY_PITCH,ACC_X,ACC_Y,ACC_Z,SWP_SG,SV_POS
a,55519,0.000,-0.463,36.000,-0.071,-0.283,-0.670,2.248,9.394,2.198,-0.463,4.131
a,55524,0.000,-0.558,36.000,-0.239,-0.512,-0.502,2.186,9.329,2.288,-0.558,3.999
a,55527,0.000,-0.653,36.000,0.326,0.206,-0.105,2.079,9.352,2.242,-0.653,4.131
a,55531,0.000,-0.748,36.000,0.051,0.313,0.124,2.192,9.366,2.269,-0.748,4.131
a,55535,0.000,-0.843,36.000,0.081,0.206,-1.510,2.241,9.364,2.243,-0.843,3.999
a,55539,0.000,-0.938,36.000,0.005,-0.726,0.215,2.404,9.468,2.207,-0.938,3.999
a,55543,0.000,-1.032,36.000,-0.499,-0.787,-0.273,2.043,9.479,2.243,-1.032,4.834
a,55547,0.000,-1.127,36.000,0.539,1.076,-0.166,1.996,9.290,2.361,-1.127,3.867
a,55551,0.000,-1.222,36.000,-0.102,0.038,0.582,2.332,9.439,2.166,-1.222,3.867
a,55555,0.000,-1.316,36.000,0.158,0.267,0.612,2.199,9.349,2.297,-1.316,3.428
a,55559,0.000,-1.411,36.000,0.005,-0.100,-0.273,2.213,9.360,2.144,-1.411,3.428
a,55564,0.000,-1.506,36.000,-0.148,-0.435,0.811,2.133,9.340,2.266,-1.506,3.296
a,55567,0.000,-1.600,36.000,0.661,1.290,0.704,1.945,9.166,2.252,-1.600,3.164
a,55571,0.000,-1.694,36.000,-0.071,-0.405,-0.609,2.453,9.437,2.144,-1.694,2.725
a,55575,0.000,-1.789,36.000,-0.377,-1.000,0.383,2.189,9.318,2.283,-1.789,2.725
a,55579,0.000,-1.883,36.000,0.326,0.297,-0.975,2.005,9.290,2.271,-1.883,2.593
a,55583,0.000,-1.977,36.000,-0.010,0.358,-0.090,2.276,9.413,2.255,-1.977,2.593
a,55588,0.000,-2.071,36.000,0.173,0.175,-0.197,2.173,9.391,2.192,-2.071,2.593
a,55592,0.000,-2.165,36.000,0.005,-0.527,-0.120,2.338,9.371,2.249,-2.165,2.681
a,55596,0.000,-2.258,36.000,-0.163,-0.252,-0.945,2.205,9.371,2.245,-2.258,2.681
a,55599,0.000,-2.352,36.000,-0.041,0.129,-0.029,2.043,9.347,2.296,-2.352,2.549
a,55603,0.000,-2.445,36.000,0.051,0.297,-1.571,2.242,9.378,2.221,-2.445,2.461
a,55607,0.000,-2.538,36.000,0.112,-0.145,-0.090,2.174,9.402,2.175,-2.538,2.505
a,55611,0.000,-2.631,36.000,0.158,-0.054,0.399,2.291,9.358,2.282,-2.631,2.681
a,55615,0.000,-2.724,36.000,-0.285,-0.451,-0.502,2.184,9.467,2.195,-2.724,2.505
a,55620,0.000,-2.817,36.000,0.173,0.725,-0.105,2.075,9.291,2.313,-2.817,2.417
a,55624,0.000,-2.909,36.000,-0.056,0.221,0.567,2.282,9.415,2.163,-2.909,1.890
a,55627,0.000,-3.001,36.000,0.158,0.236,-1.571,2.143,9.284,2.267,-3.001,1.802
a,55632,0.000,-3.093,36.000,-0.148,0.129,-0.411,2.272,9.319,2.178,-3.093,1.187
a,55636,0.000,-3.185,36.000,-0.728,-0.832,-0.823,2.326,9.389,2.230,-3.185,1.274
a,55639,0.000,-3.277,36.000,0.158,0.374,0.551,1.950,9.335,2.274,-3.277,1.143
a,55643,0.000,-3.368,36.000,0.219,0.679,-1.189,2.133,9.378,2.298,-3.368,1.055
a,55647,0.000,-3.459,36.000,0.219,0.145,-0.151,2.322,9.354,2.247,-3.459,1.143
a,55651,0.000,-3.550,36.000,-0.010,-0.558,-0.395,2.235,9.378,2.142,-3.550,0.703
a,55655,0.000,-3.640,36.000,-0.148,-0.664,0.597,2.273,9.366,2.292,-3.640,1.143
a,55659,0.000,-3.730,36.000,-0.132,0.358,-0.792,2.008,9.355,2.223,-3.730,0.703
a,55663,0.000,-3.820,36.000,0.264,0.587,-0.151,2.143,9.347,2.297,-3.820,0.703
a,55667,0.000,-3.910,36.000,-0.270,0.206,-0.365,2.301,9.397,2.195,-3.910,0.703
a,55671,0.000,-3.999,36.000,-0.163,-0.649,-1.342,2.211,9.351,2.239,-3.999,0.703
a,55675,0.000,-4.088,36.000,-0.010,-0.206,-0.701,2.149,9.358,2.294,-4.088,0.659
a,55679,0.000,-4.176,36.000,-0.056,0.099,0.261,2.188,9.397,2.242,-4.176,0.615
a,55683,0.000,-4.265,36.000,0.219,-0.038,-0.853,2.133,9.421,2.197,-4.265,0.527
a,55687,0.000,-4.352,36.000,0.142,0.526,-0.701,2.130,9.354,2.328,-4.352,2.637
a,55692,0.000,-4.440,36.000,-0.010,-0.008,0.261,2.258,9.347,2.194,-4.440,0.439
a,55695,0.000,-4.527,36.000,-0.224,-0.909,-0.930,2.355,9.439,2.236,-4.527,0.396
a,55699,0.000,-4.614,36.000,-0.377,-0.329,1.406,2.093,9.389,2.240,-4.614,-0.044
a,55703,0.000,-4.700,36.000,0.616,0.633,0.170,2.033,9.349,2.290,-4.700,-0.132
a,55707,0.000,-4.786,36.000,0.066,0.420,0.612,2.283,9.427,2.229,-4.786,0.000
